 -2.033491	0.001721	-0.002421
 -2.011092	0.003008	-0.002879
 -1.988692	0.004400	-0.002933
 -1.966293	0.005757	-0.002574
 -1.943894	0.006941	-0.001838
 -1.921494	0.007840	-0.000810
 -1.899095	0.008373	0.000397
 -1.876695	0.008501	0.001645
 -1.854296	0.008237	0.002795
 -1.831897	0.007637	0.003717
 -1.809497	0.006799	0.004308
 -1.787098	0.005849	0.004505
 -1.764699	0.004926	0.004288
 -1.742299	0.004171	0.003688
 -1.719900	0.003703	0.002778
 -1.697500	0.003611	0.001669
 -1.675101	0.003943	0.000494
 -1.652702	0.004698	-0.000606
 -1.630302	0.005828	-0.001498
 -1.607903	0.007245	-0.002073
 -1.585503	0.008828	-0.002259
 -1.563104	0.010440	-0.002028
 -1.540705	0.011941	-0.001400
 -1.518305	0.013208	-0.000442
 -1.495906	0.014146	0.000745
 -1.473506	0.014700	0.002028
 -1.451107	0.014864	0.003268
 -1.428708	0.014678	0.004329
 -1.406308	0.014224	0.005096
 -1.383909	0.013621	0.005491
 -1.361510	0.013006	0.005475
 -1.339110	0.012521	0.005060
 -1.316711	0.012295	0.004304
 -1.294311	0.012432	0.003304
 -1.271912	0.012997	0.002187
 -1.249513	0.014010	0.001092
 -1.227113	0.015440	0.000158
 -1.204714	0.017216	-0.000495
 -1.182314	0.019227	-0.000780
 -1.159915	0.021343	-0.000650
 -1.137516	0.023424	-0.000108
 -1.115116	0.025339	0.000798
 -1.092717	0.026982	0.001978
 -1.070317	0.028284	0.003311
 -1.047918	0.029218	0.004657
 -1.025519	0.029809	0.005878
 -1.003119	0.030126	0.006849
 -0.980720	0.030276	0.007477
 -0.958321	0.030390	0.007706
 -0.935921	0.030614	0.007529
 -0.913522	0.031084	0.006987
 -0.891122	0.031918	0.006164
 -0.868723	0.033198	0.005175
 -0.846324	0.034964	0.004158
 -0.823924	0.037206	0.003254
 -0.801525	0.039871	0.002591
 -0.779125	0.042862	0.002272
 -0.756726	0.046058	0.002359
 -0.734327	0.049322	0.002870
 -0.711927	0.052521	0.003774
 -0.689528	0.055540	0.004996
 -0.667128	0.058295	0.006425
 -0.644729	0.060747	0.007927
 -0.622330	0.062902	0.009363
 -0.599930	0.064816	0.010599
 -0.577531	0.066585	0.011529
 -0.555131	0.068337	0.012083
 -0.532732	0.070215	0.012233
 -0.510333	0.072365	0.012004
 -0.487933	0.074917	0.011462
 -0.465534	0.077972	0.010713
 -0.443135	0.081590	0.009888
 -0.420735	0.085786	0.009128
 -0.398336	0.090502	0.008566
 -0.375936	0.095448	0.008297
 -0.353537	0.100161	0.008370
 -0.331138	0.104406	0.008809
 -0.308738	0.107811	0.009577
 -0.286339	0.110126	0.010590
 -0.263939	0.111058	0.011715
 -0.241540	0.110355	0.012784
 -0.219141	0.107879	0.013620
 -0.196741	0.103508	0.014049
 -0.174342	0.097441	0.013957
 -0.151942	0.090018	0.013294
 -0.129543	0.081889	0.012106
 -0.107144	0.073325	0.010441
 -0.084744	0.064684	0.008414
 -0.062345	0.056151	0.006153
 -0.039946	0.048017	0.003828
 -0.017546	0.040381	0.001594
 0.004853	0.033216	-0.000411
 0.027253	0.026677	-0.002058
 0.049652	0.020879	-0.003251
 0.072051	0.015661	-0.003943
 0.094451	0.010995	-0.004122
 0.116850	0.006932	-0.003804
 0.139250	0.003554	-0.003077
 0.161649	0.001035	-0.002207
 0.184048	-0.000767	-0.001279
